Customer_Loyalty_ID,Gender,Geographic_Region,Loyalty_Status,Neigborhood_Cluster-55_Level,Neighborhood_Cluster-7_Level,Television_Region,Affluence_Grade,Age,Frequency,Frequency_Percent,Loyalty_Card_Tenure,Organics_Purchase_Count,Organics_Purchase_Indicator,Total_Spend
56073,F,South East,Gold,12.0,B,London,8,70,1,0.00%,15,0,0,19053.82
57002,F,North,Platinum,38.0,E,N East,7,72,1,0.00%,3,0,0,20526.96
59056,F,North,Gold,52.0,F,N East,9,37,1,0.00%,1,1,1,6000.0
59862,F,North,Gold,24.0,C,N West,8,58,1,0.00%,7,0,0,10053.35
63002,F,South East,Silver,31.0,D,London,7,47,1,0.00%,5,0,0,0.02
63983,M,Midlands,Silver,37.0,E,East,8,71,1,0.00%,6,0,0,1000.0
71986,F,Midlands,Silver,27.0,D,Midlands,8,62,1,0.00%,5,1,1,1000.0
72559,U,Midlands,Gold,37.0,E,Midlands,15,72,1,0.00%,12,0,0,6340.26
73148,F,Midlands,Silver,44.0,E,Midlands,8,39,1,0.00%,4,1,1,2241.36
75205,M,Midlands,Gold,34.0,D,Wales & West,6,76,1,0.00%,19,0,0,12000.0
75469,F,Scottish,Gold,11.0,B,Border,7,61,1,0.00%,11,1,1,6000.0
80608,M,North,Silver,22.0,C,Yorkshire,8,60,1,0.00%,11,1,1,60.0
82678,F,South East,Tin,52.0,F,London,15,42,1,0.00%,5,1,1,0.01
84573,F,Midlands,Silver,38.0,E,Midlands,10,57,1,0.00%,11,0,0,50.0
87750,M,Midlands,Tin,51.0,F,Midlands,6,45,1,0.00%,4,0,0,0.01
89796,F,Midlands,Silver,12.0,B,East,11,75,1,0.00%,8,1,1,3052.66
91588,F,North,Tin,38.0,E,Yorkshire,8,37,1,0.00%,5,1,1,0.01
93564,U,South West,Silver,42.0,E,S West,13,61,1,0.00%,8,0,0,3000.0
95982,F,North,Tin,4.0,A,Yorkshire,19,39,1,0.00%,8,3,1,0.01
102385,M,Scottish,Gold,8.0,B,C Scotland,8,57,1,0.00%,9,0,0,9000.0
103225,F,South East,Gold,22.0,C,S & S East,13,18,1,0.00%,1,0,0,6000.0
108413,U,North,Silver,1.0,A,N West,5,56,1,0.00%,8,0,0,3000.0
109819,F,North,Gold,27.0,D,N East,9,50,1,0.00%,4,0,0,20000.0
117498,U,North,Platinum,15.0,B,N East,11,67,1,0.00%,8,0,0,22000.0
118397,F,Midlands,Silver,37.0,E,Midlands,7,78,1,0.00%,24,0,0,2000.0
121312,F,Midlands,Tin,19.0,C,Midlands,5,61,1,0.00%,5,0,0,0.01
124710,F,South East,Silver,1.0,A,London,11,66,1,0.00%,5,0,0,2000.0
126098,U,North,Gold,24.0,C,Yorkshire,2,51,1,0.00%,5,0,0,10000.0
129283,M,Midlands,Silver,19.0,C,East,9,48,1,0.00%,2,0,0,3000.0
129410,F,South East,Silver,24.0,C,S & S East,8,53,1,0.00%,1,0,0,100.0
134872,U,Midlands,Gold,45.0,E,Midlands,10,72,1,0.00%,8,1,1,12000.0
140597,F,South East,Tin,41.0,E,London,9,68,1,0.00%,7,0,0,0.01
144649,F,Scottish,Tin,1.0,A,N Scot,8,47,1,0.00%,5,0,0,0.01
145157,F,South East,Silver,40.0,E,London,11,39,1,0.00%,1,1,1,2800.0
146730,F,South East,Tin,4.0,A,London,12,72,1,0.00%,8,0,0,0.01
148415,M,South East,Gold,40.0,E,London,10,67,1,0.00%,4,0,0,6000.0
148849,F,South East,Tin,25.0,C,London,9,60,1,0.00%,8,0,0,0.01
154040,M,North,Tin,52.0,F,N West,11,52,1,0.00%,9,0,0,0.01
156515,F,Midlands,Tin,27.0,D,Midlands,7,55,1,0.00%,8,0,0,0.01
159522,M,South East,Tin,12.0,B,London,13,41,1,0.00%,7,1,1,0.01
162485,F,Midlands,Silver,28.0,D,East,16,34,1,0.00%,3,2,1,3000.0
165808,F,North,Silver,32.0,D,N West,6,40,1,0.00%,7,1,1,1500.0
168394,F,South East,Tin,53.0,F,London,9,35,1,0.00%,4,1,1,0.01
170127,M,North,Silver,10.0,B,Yorkshire,7,50,1,0.00%,10,0,0,5000.0
192791,M,Midlands,Gold,16.0,C,East,9,60,1,0.00%,5,0,0,8100.0
197440,F,North,Gold,14.0,B,N West,8,49,1,0.00%,4,0,0,7600.0
202878,M,Midlands,Silver,53.0,F,Midlands,6,57,1,0.00%,8,0,0,2000.0
203289,U,Midlands,Platinum,51.0,F,Midlands,7,52,1,0.00%,6,0,0,23053.35
206032,M,Scottish,Gold,52.0,F,C Scotland,6,75,1,0.00%,17,0,0,10000.0
215554,F,North,Silver,22.0,C,N West,8,52,1,0.00%,6,1,1,2500.0
217158,F,Midlands,Gold,3.0,A,East,12,74,1,0.00%,5,0,0,6000.0
223182,F,South East,Silver,28.0,D,London,9,79,1,0.00%,5,0,0,5000.0
243051,F,North,Silver,53.0,F,N West,3,38,1,0.00%,9,1,1,50.0
248258,F,North,Silver,10.0,B,N West,9,58,1,0.00%,5,0,0,5000.0
249335,M,Midlands,Silver,30.0,D,Wales & West,4,52,1,0.00%,4,0,0,1800.0
252646,F,North,Silver,47.0,F,Yorkshire,3,45,1,0.00%,9,0,0,100.01
253839,F,North,Silver,51.0,F,N West,9,42,1,0.00%,4,0,0,2000.0
256366,U,Midlands,Silver,51.0,F,Midlands,10,40,1,0.00%,10,0,0,50.0
263419,F,South East,Tin,19.0,C,London,11,27,1,0.00%,7,2,1,0.01
267236,F,North,Tin,37.0,E,N West,4,60,1,0.00%,8,0,0,0.01
270962,U,South East,Silver,4.0,A,London,7,58,1,0.00%,5,0,0,2500.0
274623,M,North,Tin,32.0,D,N West,7,42,1,0.00%,4,0,0,0.01
277010,F,South East,Tin,31.0,D,London,4,57,1,0.00%,5,0,0,0.01
278661,F,Midlands,Gold,18.0,C,Midlands,10,72,1,0.00%,8,0,0,11105.32
282057,F,North,Tin,51.0,F,N West,7,37,1,0.00%,5,0,0,0.01
285846,F,Midlands,Silver,51.0,F,East,9,76,1,0.00%,8,1,1,2000.0
287628,F,North,Tin,34.0,D,N West,6,45,1,0.00%,5,0,0,0.01
293555,F,Scottish,Silver,11.0,B,N Scot,12,61,1,0.00%,1,0,0,4000.0
297194,U,Midlands,Tin,50.0,F,East,8,52,1,0.00%,8,0,0,0.01
300845,U,Midlands,Silver,38.0,E,Midlands,8,40,1,0.00%,1,0,0,1000.0
301175,F,Midlands,Tin,34.0,D,Midlands,5,56,1,0.00%,9,0,0,0.01
301981,F,North,Gold,47.0,F,N West,8,51,1,0.00%,8,0,0,9000.01
310786,F,South East,Gold,24.0,C,London,9,50,1,0.00%,2,0,0,12000.0
312762,F,South East,Silver,8.0,B,S & S East,8,41,1,0.00%,7,1,1,1675.0
315559,M,South East,Silver,10.0,B,London,8,60,1,0.00%,8,0,0,100.01
315788,F,South East,Silver,15.0,B,S & S East,10,70,1,0.00%,8,0,0,2250.0
316350,F,South East,Tin,28.0,D,London,9,50,1,0.00%,9,1,1,0.01
317640,F,Midlands,Tin,49.0,F,Midlands,15,37,1,0.00%,8,1,1,0.01
317950,F,South East,Silver,18.0,C,London,9,74,1,0.00%,5,0,0,3000.0
331341,M,Scottish,Gold,11.0,B,C Scotland,9,53,1,0.00%,4,0,0,6000.0
342033,F,North,Silver,32.0,D,N West,7,51,1,0.00%,10,0,0,3026.67
343102,F,North,Platinum,27.0,D,N West,5,62,1,0.00%,7,0,0,56053.35
345474,F,South East,Silver,23.0,C,S & S East,3,46,1,0.00%,10,0,0,0.1
345865,M,North,Gold,38.0,E,Yorkshire,10,39,1,0.00%,2,1,1,7500.0
346225,M,South East,Silver,36.0,E,S & S East,6,53,1,0.00%,6,1,1,3000.0
347086,F,South East,Silver,21.0,C,London,7,48,1,0.00%,4,0,0,5000.0
347531,F,South East,Gold,12.0,B,S & S East,7,62,1,0.00%,11,0,0,12808.95
349291,M,South East,Silver,12.0,B,London,9,26,1,0.00%,1,0,0,4000.0
351482,F,South West,Gold,41.0,E,S West,6,43,1,0.00%,2,0,0,6000.0
356425,F,Midlands,Gold,41.0,E,Midlands,7,78,1,0.00%,5,0,0,6000.0
356719,F,Midlands,Gold,19.0,C,East,3,67,1,0.00%,3,0,0,12049.25
357898,F,North,Tin,27.0,D,N West,2,45,1,0.00%,5,0,0,0.01
359955,F,South East,Gold,44.0,E,London,13,68,1,0.00%,6,0,0,7500.0
361283,U,South East,Platinum,4.0,A,S & S East,14,74,1,0.00%,3,0,0,20245.89
362468,M,Midlands,Tin,35.0,D,Midlands,5,53,1,0.00%,8,0,0,0.01
369225,M,Scottish,Silver,23.0,C,C Scotland,5,51,1,0.00%,8,0,0,420.0
370398,F,South East,Silver,52.0,F,S & S East,6,51,1,0.00%,1,0,0,200.0
370622,U,South East,Silver,4.0,A,S & S East,5,51,1,0.00%,2,0,0,200.0
371475,M,South East,Tin,21.0,C,London,11,36,1,0.00%,4,0,0,0.01
374644,F,Midlands,Gold,49.0,F,Wales & West,8,63,1,0.00%,2,0,0,6000.0
375330,F,South East,Silver,16.0,C,S & S East,8,69,1,0.00%,9,0,0,500.0
376078,F,Midlands,Tin,32.0,D,Midlands,11,40,1,0.00%,5,1,1,0.01
380113,F,Midlands,Silver,45.0,E,Wales & West,4,46,1,0.00%,11,0,0,2165.75
396192,F,South East,Silver,4.0,A,S & S East,8,46,1,0.00%,11,1,1,2245.0
397407,F,North,Tin,35.0,D,N West,9,38,1,0.00%,5,1,1,0.01
397660,M,North,Gold,52.0,F,N West,4,67,1,0.00%,5,0,0,11000.0
400297,U,North,Platinum,53.0,F,Yorkshire,11,73,1,0.00%,4,0,0,26000.0
403768,F,Scottish,Gold,11.0,B,Border,5,53,1,0.00%,8,0,0,9000.0
407364,F,Midlands,Silver,37.0,E,Midlands,6,55,1,0.00%,4,1,1,5000.0
408964,F,South East,Silver,4.0,A,London,9,54,1,0.00%,8,0,0,3000.0
414832,M,South East,Tin,52.0,F,London,6,45,1,0.00%,5,0,0,0.01
421979,F,North,Silver,38.0,E,N West,5,58,1,0.00%,4,0,0,420.0
423211,F,North,Tin,35.0,D,N East,8,33,1,0.00%,5,1,1,0.01
434671,M,South East,Tin,27.0,D,London,11,35,1,0.00%,8,1,1,0.01
435961,M,North,Gold,4.0,A,Yorkshire,4,71,1,0.00%,12,0,0,6000.0
439088,M,Scottish,Tin,15.0,B,Border,10,55,1,0.00%,4,0,0,0.01
454702,M,South East,Gold,5.0,B,London,13,53,1,0.00%,5,0,0,6871.12
462705,F,South East,Silver,44.0,E,London,9,58,1,0.00%,19,0,0,1500.0
467812,M,North,Tin,20.0,C,Yorkshire,13,43,1,0.00%,5,0,0,0.01
473596,F,South East,Tin,32.0,D,London,8,47,1,0.00%,5,0,0,0.01
479403,M,South East,Gold,18.0,C,S & S East,4,74,1,0.00%,2,0,0,6000.0
481572,M,North,Silver,38.0,E,N East,10,49,1,0.00%,1,0,0,5000.0
486701,F,South East,Silver,27.0,D,S & S East,9,58,1,0.00%,9,0,0,3000.0
492566,F,Midlands,Tin,27.0,D,Midlands,8,56,1,0.00%,8,0,0,0.01
498300,F,South East,Gold,14.0,B,S & S East,5,47,1,0.00%,1,0,0,6000.0
500100,F,Midlands,Silver,52.0,F,Midlands,14,30,1,0.00%,1,1,1,100.0
502316,F,South East,Platinum,30.0,D,S & S East,3,68,1,0.00%,4,1,1,50000.0
503053,F,North,Silver,35.0,D,N West,8,45,1,0.00%,4,0,0,1000.0
518069,F,South East,Gold,4.0,A,London,7,71,1,0.00%,6,0,0,12000.0
523259,F,South East,Gold,28.0,D,S & S East,10,65,1,0.00%,8,0,0,9053.35
528102,F,South East,Gold,24.0,C,London,10,74,1,0.00%,5,0,0,19000.0
530042,F,North,Tin,32.0,D,N West,10,43,1,0.00%,5,1,1,0.01
532479,F,South West,Silver,42.0,E,S West,11,44,1,0.00%,9,0,0,500.0
543004,U,South East,Silver,48.0,F,London,9,65,1,0.00%,5,0,0,3000.0
543683,M,South East,Gold,28.0,D,S & S East,7,46,1,0.00%,12,0,0,17409.76
553115,F,Midlands,Silver,52.0,F,Midlands,8,29,1,0.00%,12,0,0,2000.0
580287,F,Midlands,Tin,20.0,C,Wales & West,7,53,1,0.00%,5,1,1,0.01
588784,M,Midlands,Silver,37.0,E,Midlands,9,64,1,0.00%,12,0,0,1000.0
595233,M,South East,Silver,30.0,D,S & S East,10,49,1,0.00%,5,1,1,3000.0
598453,F,South East,Gold,51.0,F,London,17,59,1,0.00%,8,2,1,12000.0
600504,F,North,Tin,52.0,F,N West,8,37,1,0.00%,5,0,0,0.01
606316,F,South East,Silver,26.0,C,London,15,51,1,0.00%,8,1,1,3000.0
607444,F,Midlands,Silver,11.0,B,Wales & West,18,51,1,0.00%,3,0,0,3000.0
608378,F,Scottish,Silver,34.0,D,C Scotland,5,58,1,0.00%,11,0,0,3050.0
610283,M,South East,Tin,1.0,A,London,9,46,1,0.00%,9,0,0,0.01
611662,U,South East,Tin,31.0,D,London,5,48,1,0.00%,5,0,0,0.01
621358,F,Midlands,Gold,19.0,C,Midlands,4,61,1,0.00%,1,0,0,6000.0
630888,F,Midlands,Tin,17.0,C,Midlands,9,38,1,0.00%,5,1,1,0.01
633380,M,South East,Gold,41.0,E,S & S East,7,68,1,0.00%,6,0,0,15000.01
633542,F,Midlands,Gold,53.0,F,Wales & West,12,76,1,0.00%,2,0,0,6000.0
641022,F,North,Tin,32.0,D,Yorkshire,4,56,1,0.00%,8,0,0,0.01
642568,M,North,Silver,2.0,A,N East,8,73,1,0.00%,1,1,1,360.0
649007,F,Midlands,Tin,33.0,D,Midlands,8,37,1,0.00%,9,1,1,0.01
663603,F,South East,Silver,1.0,A,London,11,74,1,0.00%,4,0,0,3350.0
666238,M,North,Gold,30.0,D,Yorkshire,9,65,1,0.00%,.,0,0,6107.64
667692,F,Midlands,Silver,37.0,E,Midlands,5,60,1,0.00%,2,0,0,5000.0
669067,F,Scottish,Silver,30.0,D,C Scotland,10,35,1,0.00%,4,0,0,1500.0
672785,F,Scottish,Gold,23.0,C,N Scot,6,46,1,0.00%,1,0,0,6544.99
674885,F,South East,Gold,37.0,E,London,3,46,1,0.00%,5,0,0,6000.0
682144,F,South East,Platinum,41.0,E,London,5,70,1,0.00%,0,0,0,21684.94
693847,U,South East,Gold,8.0,B,S & S East,4,46,1,0.00%,3,0,0,6000.0
708569,U,Scottish,Silver,43.0,E,C Scotland,3,68,1,0.00%,18,0,0,4000.0
723185,F,South East,Silver,37.0,E,London,12,49,1,0.00%,3,0,0,3000.0
734446,F,Midlands,Silver,38.0,E,Midlands,4,63,1,0.00%,7,0,0,3026.67
741779,U,Midlands,Silver,8.0,B,Midlands,4,62,1,0.00%,5,0,0,5000.0
749044,U,North,Gold,22.0,C,N East,5,74,1,0.00%,1,0,0,6000.0
764876,F,South East,Tin,32.0,D,S & S East,7,43,1,0.00%,5,0,0,0.01
770264,F,South East,Gold,25.0,C,London,8,64,1,0.00%,2,0,0,12000.0
775258,F,North,Silver,44.0,E,N West,12,31,1,0.00%,9,0,0,1100.0
778176,F,North,Silver,27.0,D,N East,11,41,1,0.00%,5,0,0,1000.0
779199,F,Midlands,Tin,51.0,F,Wales & West,9,45,1,0.00%,8,0,0,0.01
796026,F,South East,Tin,21.0,C,London,9,40,1,0.00%,5,0,0,0.01
802069,F,South East,Gold,5.0,B,S & S East,7,70,1,0.00%,2,0,0,12000.0
823961,F,Midlands,Gold,51.0,F,Wales & West,8,52,1,0.00%,2,0,0,6000.0
827614,F,South East,Tin,38.0,E,S & S East,6,38,1,0.00%,9,1,1,0.01
830380,F,South East,Silver,32.0,D,London,8,43,1,0.00%,10,0,0,50.0
835404,M,North,Tin,44.0,E,N West,7,37,1,0.00%,5,0,0,0.01
836222,M,Scottish,Tin,22.0,C,N Scot,7,42,1,0.00%,5,0,0,0.01
841013,U,Midlands,Gold,2.0,A,Midlands,4,22,1,0.00%,3,0,0,6000.0
842486,U,Midlands,Tin,44.0,E,East,8,31,1,0.00%,8,0,0,0.01
848085,F,North,Silver,6.0,B,N West,15,33,1,0.00%,7,2,1,0.02
856916,M,Scottish,Gold,34.0,D,C Scotland,8,54,1,0.00%,8,0,0,12000.0
861820,F,South East,Silver,18.0,C,S & S East,5,54,1,0.00%,2,0,0,1000.0
870307,M,North,Gold,10.0,B,Yorkshire,9,53,1,0.00%,3,0,0,6000.0
871095,F,North,Tin,53.0,F,Yorkshire,16,37,1,0.00%,5,2,1,0.01
878812,F,South East,Tin,12.0,B,London,7,65,1,0.00%,8,0,0,0.01
889199,F,Midlands,Silver,38.0,E,Midlands,14,39,1,0.00%,10,1,1,50.0
897485,F,Scottish,Gold,47.0,F,C Scotland,9,42,1,0.00%,2,1,1,6000.0
899186,M,North,Silver,37.0,E,Yorkshire,6,67,1,0.00%,8,0,0,3000.0
903191,F,Midlands,Tin,52.0,F,Midlands,11,43,1,0.00%,5,1,1,0.01
909459,F,South East,Silver,19.0,C,S & S East,8,50,1,0.00%,9,0,0,0.02
918237,F,Midlands,Tin,28.0,D,Midlands,13,58,1,0.00%,8,0,0,0.01
929506,M,Midlands,Gold,12.0,B,East,5,79,1,0.00%,8,0,0,6000.0
935530,F,South East,Silver,1.0,A,London,8,68,1,0.00%,8,1,1,800.0
943517,F,South East,Silver,1.0,A,London,9,48,1,0.00%,8,0,0,600.0
950033,M,South West,Silver,51.0,F,S West,12,35,1,0.00%,5,0,0,1500.0
951897,F,Midlands,Tin,34.0,D,East,9,38,1,0.00%,4,1,1,0.01
952729,M,North,Gold,17.0,C,N West,11,42,1,0.00%,5,0,0,6041.13
956155,M,North,Silver,17.0,C,N West,14,50,1,0.00%,4,0,0,420.01
956635,M,North,Tin,22.0,C,N West,4,63,1,0.00%,5,1,1,0.01
963194,F,South East,Gold,20.0,C,London,9,75,1,0.00%,1,0,0,6000.0
966932,F,South East,Silver,29.0,D,London,8,50,1,0.00%,8,0,0,50.0
985295,F,South East,Tin,34.0,D,London,2,58,1,0.00%,8,0,0,0.01
997684,F,South East,Silver,48.0,F,London,6,54,1,0.00%,11,0,0,50.0
1002422,F,North,Tin,35.0,D,N West,7,54,1,0.00%,5,0,0,0.01
1003402,F,South East,Tin,53.0,F,London,18,38,1,0.00%,6,1,1,0.01
1008129,M,South East,Silver,24.0,C,London,8,55,1,0.00%,5,0,0,1000.0
1009060,M,Scottish,Tin,38.0,E,C Scotland,8,52,1,0.00%,4,0,0,0.01
1009931,F,Midlands,Silver,32.0,D,Midlands,11,59,1,0.00%,2,0,0,1500.0
1011243,M,South West,Silver,49.0,F,S West,6,63,1,0.00%,2,1,1,1000.0
1011669,M,North,Tin,38.0,E,N West,15,47,1,0.00%,6,0,0,0.01
1012509,F,South East,Tin,51.0,F,London,6,44,1,0.00%,8,0,0,0.01
1013394,F,South East,Tin,4.0,A,London,7,39,1,0.00%,7,0,0,0.01
1018361,U,Midlands,Gold,4.0,A,Midlands,5,72,1,0.00%,2,0,0,6000.0
1022334,M,Midlands,Tin,47.0,F,Wales & West,8,38,1,0.00%,5,0,0,0.01
1024248,F,South East,Tin,30.0,D,S & S East,13,72,1,0.00%,8,0,0,0.01
1040227,F,Midlands,Gold,19.0,C,Wales & West,7,66,1,0.00%,8,0,0,9000.0
1054015,F,South East,Gold,51.0,F,London,6,78,1,0.00%,5,0,0,7500.0
1055682,M,Midlands,Gold,15.0,B,East,9,55,1,0.00%,2,0,0,5672.31
1060228,M,Midlands,Gold,53.0,F,Midlands,7,49,1,0.00%,3,0,0,10000.0
1068601,F,Midlands,Tin,32.0,D,Midlands,6,45,1,0.00%,4,0,0,0.01
1070037,F,Scottish,Silver,52.0,F,C Scotland,5,73,1,0.00%,32,0,0,600.0
1070460,F,South East,Platinum,4.0,A,London,8,71,1,0.00%,4,1,1,23425.0
1072773,F,South East,Gold,27.0,D,London,14,52,1,0.00%,5,0,0,7017.55
1080016,F,Midlands,Tin,34.0,D,East,11,52,1,0.00%,.,0,0,0.01
1084607,F,Midlands,Gold,16.0,C,Midlands,9,57,1,0.00%,7,0,0,9052.66
1091085,M,North,Gold,27.0,D,N West,10,63,1,0.00%,4,0,0,6053.34
1097474,M,North,Tin,24.0,C,N West,20,39,1,0.00%,8,2,1,0.01
1098918,F,Midlands,Tin,22.0,C,Midlands,7,35,1,0.00%,4,1,1,0.01
1101579,F,Midlands,Silver,48.0,F,Wales & West,8,58,1,0.00%,9,0,0,1930.0
1103288,F,Midlands,Tin,23.0,C,Midlands,10,40,1,0.00%,4,1,1,0.01
1108646,F,South East,Gold,3.0,A,London,9,61,1,0.00%,11,0,0,12150.0
1111434,F,North,Silver,25.0,C,N West,13,70,1,0.00%,11,0,0,500.0
1128353,F,North,Silver,52.0,F,N West,5,70,1,0.00%,5,0,0,3500.0
1131451,F,Midlands,Gold,3.0,A,Wales & West,6,60,1,0.00%,4,0,0,10000.0
1134051,F,South East,Silver,6.0,B,S & S East,14,77,1,0.00%,11,0,0,4884.25
1135724,F,South East,Silver,42.0,E,S & S East,10,74,1,0.00%,12,0,0,4500.0
1136585,F,Midlands,Silver,33.0,D,Wales & West,7,67,1,0.00%,5,0,0,3000.0
1137492,M,Midlands,Gold,27.0,D,Midlands,7,51,1,0.00%,11,1,1,17000.0
1138235,F,Midlands,Silver,25.0,C,Midlands,18,37,1,0.00%,8,3,1,50.01
1150820,F,Scottish,Gold,20.0,C,N Scot,5,58,1,0.00%,22,0,0,6000.0
1151037,F,South East,Silver,30.0,D,S & S East,6,27,1,0.00%,7,0,0,5.0
1154958,U,South East,Platinum,12.0,B,London,5,72,1,0.00%,12,0,0,32050.0
1156179,F,South East,Gold,31.0,D,London,9,70,1,0.00%,8,0,0,6000.0
1164910,M,North,Tin,38.0,E,N West,7,51,1,0.00%,10,0,0,0.01
1178520,F,Midlands,Silver,51.0,F,Wales & West,10,58,1,0.00%,8,0,0,3000.01
1179462,F,Midlands,Tin,38.0,E,Wales & West,10,73,1,0.00%,6,0,0,0.01
1184199,F,South East,Silver,51.0,F,London,7,38,1,0.00%,4,0,0,4500.0
1186671,F,South East,Silver,1.0,A,London,7,71,1,0.00%,3,1,1,2000.0
1190369,M,South East,Silver,22.0,C,London,22,50,1,0.00%,6,2,1,3000.0
1192051,F,Midlands,Silver,22.0,C,Midlands,6,51,1,0.00%,27,0,0,3500.0
1195654,F,Midlands,Tin,35.0,D,Wales & West,10,33,1,0.00%,8,0,0,0.01
1196413,U,Midlands,Silver,1.0,A,Midlands,6,67,1,0.00%,4,0,0,5000.0
1214039,F,South East,Gold,2.0,A,London,8,64,1,0.00%,4,1,1,20000.0
1214934,F,South East,Silver,52.0,F,London,9,50,1,0.00%,4,0,0,5000.0
1219553,U,North,Gold,37.0,E,N West,8,76,1,0.00%,15,0,0,6000.0
1220462,F,South East,Gold,50.0,F,London,5,41,1,0.00%,3,0,0,6000.0
1225006,M,Scottish,Tin,31.0,D,C Scotland,12,50,1,0.00%,7,1,1,0.01
1227807,F,South West,Gold,2.0,A,S West,13,54,1,0.00%,30,0,0,12078.35
1237713,F,South East,Silver,14.0,B,S & S East,13,45,1,0.00%,8,0,0,3000.0
1246933,M,South East,Silver,13.0,B,S & S East,10,59,1,0.00%,2,0,0,780.0
1260758,M,Scottish,Silver,35.0,D,C Scotland,9,66,1,0.00%,9,0,0,2000.0
1263749,M,North,Tin,6.0,B,Yorkshire,5,52,1,0.00%,11,0,0,0.01
1275305,U,North,Silver,50.0,F,N West,6,45,1,0.00%,9,0,0,300.0
1276417,F,South East,Tin,30.0,D,S & S East,9,48,1,0.00%,5,1,1,0.01
1277200,F,South East,Tin,6.0,B,S & S East,6,60,1,0.00%,5,0,0,0.01
1287850,F,Midlands,Gold,23.0,C,East,11,56,1,0.00%,7,0,0,6105.32
1288741,F,Midlands,Tin,44.0,E,Midlands,26,31,1,0.00%,4,2,1,0.01
1303252,M,South East,Tin,26.0,C,London,9,55,1,0.00%,11,0,0,0.01
1311360,M,Midlands,Silver,17.0,C,Midlands,8,61,1,0.00%,6,0,0,3250.0
1314483,M,South East,Silver,2.0,A,London,9,68,1,0.00%,4,0,0,4250.0
1317113,F,South East,Tin,21.0,C,London,14,47,1,0.00%,8,0,0,0.01
1318845,F,Midlands,Silver,24.0,C,Wales & West,3,70,1,0.00%,11,0,0,3000.0
1322516,M,South East,Silver,7.0,B,London,10,40,1,0.00%,13,0,0,1000.0
1329022,M,Midlands,Tin,47.0,F,Midlands,10,57,1,0.00%,4,0,0,0.01
1330489,F,Scottish,Silver,12.0,B,C Scotland,11,54,1,0.00%,9,0,0,360.0
1338498,F,South East,Gold,13.0,B,London,9,44,1,0.00%,5,0,0,6053.35
1339389,M,North,Silver,35.0,D,Yorkshire,6,57,1,0.00%,8,0,0,0.02
